local_timestamp,251_no2,259_no2,256_no2,265_no2,264_no2,255_no2,271_no2,254_no2,263_no2,250_no2,252_no2,272_no2,270_no2,276_no2,268_no2,257_no2,269_no2,258_no2,267_no2,253_no2,274_no2,260_no2,262_no2,266_no2,261_no2
2024-02-12 03:00:00-05:00,13.898947744530037,,,14.984128691386854,13.568263822158013,14.13095355034504,,14.590915127828907,14.782200190936468,17.089621248124466,,13.140956303846792,14.660845025307882,12.139162336456184,11.906042381566174,13.85784278861222,12.680687853157863,14.879131435160723,10.806779069817297,,11.770417260440212,14.535371923151182,12.857904029276819,12.858624715804497,13.03313578963655
2024-02-12 04:00:00-05:00,15.338627627590018,,,17.032724124755088,15.056168030654419,15.32880630273835,,17.358861731257804,15.56584608035038,19.592927916257082,,14.396034091573952,16.07677541990695,12.366763120890962,15.63828947687243,15.980441196830203,11.418744429214144,15.920942586358507,13.480097909139072,,14.001347665900482,16.166683933445412,16.90497949655916,16.38652045417288,17.173862768712905
2024-02-12 05:00:00-05:00,15.155180120517723,,,18.62163824340799,15.408599338255575,15.838796317160103,,17.403164387798725,14.238422062365775,21.853762015228213,,14.913070203872714,16.977857011025133,13.481541157198308,17.33450161361194,16.6840462327751,14.607083819172153,16.185397484152404,19.280876455143844,,17.302763668491934,13.265131881918094,19.709367364294142,21.246016016810398,20.604544275632204
2024-02-12 06:00:00-05:00,15.261858851151963,,,19.09855267756897,20.87495828249251,18.319785092210267,,20.939982797490153,15.345041643722421,21.906883389581477,,16.43641178785404,19.138390713994237,17.68130489037857,19.492474022157566,21.779359819738815,19.244624898698568,19.022937494298283,19.462517590166517,,17.741194357633816,15.797301075462514,22.59390441601762,26.374166617678757,23.382369031245098
2024-02-12 07:00:00-05:00,16.258850441050992,,,17.94851270031209,26.42471432113211,20.689632791010517,,27.964028548633323,13.893757024039832,27.944861284775,,15.384444315343266,16.96625785269573,16.448731799514718,19.31743325925821,23.547664047052045,17.064011614314225,23.17689705984661,23.110279107390756,,17.099893727273454,16.664413079008817,23.00380815758502,31.39459795772228,29.805639430605417
2024-02-12 08:00:00-05:00,12.94889642411262,,,14.567973665634444,14.246790735783367,14.738793315437796,,18.09217174795765,11.1433895705005,23.26552770133432,,12.759345373015655,11.234175716873445,13.612879854634034,12.27658269677979,19.768101211672843,15.282426682266724,15.54656241480545,22.584673878425708,,15.177819664444257,12.95646928347211,21.02241809020359,20.230657570326077,23.02366624653185
2024-02-12 09:00:00-05:00,8.367228756131667,,,8.203025943991086,8.468821911678383,10.302336001266085,,8.329438401260255,5.960269463297248,9.737123232347358,,6.675498304419158,6.077207482822672,12.585734074134947,6.634816773413199,10.453120748717105,8.444807119545715,11.153893081605425,12.18275505942287,,10.836730915854162,8.212589565257428,10.27317883737771,6.119695924190115,10.095562167828641
2024-02-12 10:00:00-05:00,11.418176720615337,,,5.591631323619467,3.384218190531751,7.17172928037612,,6.382821771713942,8.728506907490512,6.956699274067465,,7.725771187007581,7.059848139475527,9.742046002609367,4.993669868805121,5.942384082159023,6.278834442917763,7.535157010004113,4.3459984394685165,,6.858595884595886,8.918136274314843,7.539076056440965,4.279576548594222,4.556336507530986
2024-02-12 11:00:00-05:00,9.413697832827415,,,6.28767029033995,1.4866123915758749,4.390167235326238,,5.953467620852564,8.055521139799207,4.681930798203871,,7.374364907434149,4.98219514326707,8.405156558726912,4.050052568511703,4.482305512631907,5.2764346929171,4.7985886654788175,3.836183928745058,,6.84771777024217,6.086147253901874,5.284822151381517,5.291659961141375,1.3387536494799068
2024-02-12 12:00:00-05:00,5.40366052979414,,,6.497909027758126,1.1052696658509902,3.662419145973921,,3.9862624303208136,7.119107919433457,6.611411029487325,,4.715122299931906,5.0822561047303765,8.803025654146854,3.036259378371483,2.5883637035104528,7.059054406751287,5.199399653838075,3.8492965698088923,,8.169321688142773,3.960352184990656,3.0255453380602817,5.077580878919034,0.3934238906721479
2024-02-12 13:00:00-05:00,6.8211763029837655,,,5.574475785735057,3.1553102718199675,6.751494613550719,,6.914715127885202,9.678046838653398,8.165602398614908,,9.834056952438992,10.7045579924106,6.974237394942223,4.040012500346059,5.589356124090493,16.381469234605916,8.047971029795242,4.927277544998761,,7.981559504600412,6.343738225466339,6.7357727687704045,6.26727760593098,4.347663827169848
2024-02-12 14:00:00-05:00,9.104286533686741,,,11.916163251814211,6.594086476234903,9.680815305073246,,7.378246268924286,8.644906725418018,10.790923692007269,,10.886326608160388,13.73705517372834,5.972441134023277,6.2591297734940525,7.612753467597678,17.142797353232524,8.259124655149918,8.689520623621624,,7.878305909404418,8.12941700850287,12.616240139872682,6.35047728008267,7.866450030842604
2024-02-12 18:00:00-05:00,16.96331603649309,,,19.433147487593896,17.880195666690017,15.687178977028111,,16.540211579999237,13.975177111282488,14.44546563102094,,15.17945597028087,17.8313039612534,9.652402034431116,18.622996034192333,14.476226340530896,16.98309635810537,14.183470526043237,18.30098046625755,,15.40646620590853,17.437807178059952,15.581469451321086,13.86705790729125,17.110388125549417
2024-02-12 19:00:00-05:00,18.48492278963766,,,20.285185789269047,19.087983531425156,16.59583190722409,,17.896460013367275,15.724428733147544,19.569092826077146,,17.08706386427059,16.6160232294735,10.605479206857819,15.867560659264889,18.427915182450192,21.56037845975218,13.822630725203567,21.60512584892797,,17.618177654672635,17.30817196308902,18.418648586737895,20.418197634013453,19.719185457519643
2024-02-12 20:00:00-05:00,15.371054100340489,,,22.75671953438353,17.389802304050107,15.383984495657359,,17.414022954078057,17.180438008575432,20.76054227175777,,17.833803658280928,14.194573881479357,12.755311890265178,13.162503659942722,17.90213929502997,18.621291337686465,16.1654468064944,21.454625601097522,,15.266272201044856,18.21781347716245,17.578177226747176,22.375939121786836,18.514520227655595
2024-02-12 21:00:00-05:00,13.555931234668595,,,17.624628114795872,12.257626622672937,12.575278310959774,,15.338897174627398,12.56996330608185,21.998870349309804,,11.997355980297876,11.79725094125201,10.436398670352766,11.774959381480834,14.908931604710874,10.34322003968466,17.332931896166315,12.440159651833087,,11.081835771078346,15.272398419035923,12.257833878688425,14.140871539174098,14.720771822474337
2024-02-12 22:00:00-05:00,11.053304067541863,,,12.29679450494461,9.616990306398645,11.491430666468482,,12.177745001501968,10.108887847313742,14.005283854779886,,10.207565262729226,10.52387472746328,11.922343579567858,8.928275604501813,10.97464234052057,11.72728983546807,12.52948343629894,10.239712778885993,,10.245422716245827,11.558046363556716,9.431061223368255,11.205199955383012,12.03895915594535
2024-02-12 23:00:00-05:00,8.118947038817398,,,9.182260145958505,7.947051264211769,9.04906869681998,,9.233183089097373,6.983246620258452,9.962228346434102,,6.764115020507106,7.143081243353496,9.166098259579185,6.702253950150691,7.97991954916877,8.595470775341795,7.731404022250274,6.426108347681373,,6.829359646736535,7.410493086753146,5.37498773709266,5.462556813894436,11.590592656385205
2024-02-13 00:00:00-05:00,6.743282444518368,,,7.602388873848046,6.012437956126568,6.871983074684756,,6.093906330189007,6.910744315512694,6.521131103833419,,8.663433556479774,6.761729143017565,8.6051852381712,4.7852291483099805,5.510214377875027,7.1174588926626825,7.304131073610222,6.466481014272208,,6.6435175796359545,4.434856583823018,6.070575554463247,5.557865185806362,5.431873253667504
2024-02-13 01:00:00-05:00,5.439956074490713,,,6.986276630702125,5.921011800351696,6.202368185146234,,4.984919054877302,7.428572919778777,5.694380095793625,,5.025359350441384,5.587569137374018,8.042279036736204,4.5791917882949065,5.16033199211039,7.1184169118757055,5.462331682012586,6.314431501970743,,6.720663645926649,4.454420435922669,5.007565370322261,4.894753672487881,4.820264608736849
2024-02-13 02:00:00-05:00,5.091475782128317,,,7.009386961960502,5.8164758232381075,6.535963149296649,,5.646960841148193,6.955483754219511,5.332622055562754,,5.188314925831477,5.196298722681348,8.228356624873996,4.827041623517914,5.254669831185062,6.32627821520974,4.9013433553261585,4.717310965179447,,5.407155507302434,4.635821796388672,4.405891383928145,4.39909446168371,4.935313527033907
2024-02-13 03:00:00-05:00,5.982103404682121,,,7.595725738683978,6.6210615792792495,6.808726386619426,,6.153031572791484,8.80794414951362,6.731272435648564,,6.237527883926639,6.478832781974873,8.48061463035297,5.105022644045938,5.826067820813357,7.098961201148619,6.511788461807441,5.355139055302015,,6.296513915531008,5.2588776894783145,5.311560577074152,5.361954426682385,5.379592407285026
2024-02-13 04:00:00-05:00,8.796153590837013,,,9.890545122624388,8.072804417515993,9.079417377571339,,8.624552215902362,9.762109956106908,7.616296807451382,,7.954448147918093,8.829671442081558,8.987717448852049,7.4082193270865915,7.448843604136762,9.134240661118625,6.989884430701984,6.914342677243393,,7.997034773239264,7.677070818761521,7.644019151224841,7.519161379954655,7.212459464971196
2024-02-13 05:00:00-05:00,10.479913393159467,,,11.227142612805846,7.963276625141944,9.444020201358363,,10.05144697155793,13.919027287439054,10.125227321488117,,11.23830737085315,10.30024891949179,12.504593255365963,9.349695928950695,8.789172382500421,11.981807899973603,11.024328407927563,11.36518209334884,,12.09543697415306,9.53595173117975,10.876887936156438,10.957908202673138,9.171103279286346
2024-02-13 06:00:00-05:00,12.61226064206994,,,11.23608963294831,9.090470774209937,10.61550311112024,,11.702820750447351,11.280163253962325,8.575144972509673,,10.88172777772806,12.731674897734806,9.127475183317515,9.859781968428138,9.16752201162743,10.214298054618766,11.882532318298281,9.60885829133903,,11.157670296048423,8.515587694543711,10.880085792518285,9.476605345695633,9.341206987960927
2024-02-13 07:00:00-05:00,11.868269325080876,,,11.492386813801605,8.961671274514128,10.816106801024212,,11.634236493049634,11.282908720033543,9.111816544041842,,12.389900692609885,12.442810482311053,9.918368468652499,9.416083198613528,9.059233285985655,9.999788400411553,11.199578502162282,10.170805276227394,,11.7855704566974,8.359403428012033,10.838065603110193,10.245389389000476,9.12332769625974
2024-02-13 08:00:00-05:00,9.795997624709523,,,10.74926306189386,8.817291104989334,10.675526097655094,,11.80206953129747,10.340035273991848,7.378142296687608,,8.6539114650082,11.189541747152617,9.730327761165546,9.47831817475268,8.758497532886544,8.53146008309998,9.836144776684478,10.236746634518077,,9.915813345681826,8.098707727783097,10.330339926202493,8.711741668441993,8.863862716777199
2024-02-13 09:00:00-05:00,9.321927458346789,,,9.60809310949276,8.550306327727313,9.616969017699809,,10.698252882805903,9.081264537438688,8.146953555989597,,8.439832465293478,10.890161122806788,10.770608905706027,8.847877385571131,8.07694242344364,8.386484057494428,9.132413901405613,8.284229366876561,,9.37153473739042,7.175904171674642,8.89009717596432,8.110583739103259,8.101467390599138
2024-02-13 10:00:00-05:00,6.762561928816586,,,8.648788509336779,7.1494034716501424,7.5708187168176835,,7.750478103757622,8.077342150200181,7.307464265455195,,7.984111202109467,7.41702369565871,9.391102047782361,6.97322972639634,6.819678466875068,6.387504058009128,6.6640615542410515,7.612529783594107,,7.85913708073987,6.1130526321832726,7.261049135799002,7.317892651417036,5.212335843573598
2024-02-13 11:00:00-05:00,5.177254713759275,,,10.013664100192983,6.4860540604238,7.223177023109429,,7.300776233021196,8.03658735382582,6.108957828942308,,7.441333033943565,6.16379433413676,9.615225236738214,6.369907484226381,6.233398411431057,5.52403908579717,6.554657550950978,6.019447737753218,,7.601616667449889,5.822270850411936,6.807884075932533,7.357671776003759,5.061698016757978
2024-02-13 12:00:00-05:00,4.381086119752705,,,9.055498796482421,6.2977701498155305,6.2895551000704515,,6.096881853081072,6.054292725238273,4.662017199513687,,6.176642467742667,4.969748729498477,9.059467274391102,6.146495242523848,5.482184293520028,4.243389505200213,5.006485727691739,5.297359763343804,,6.376162769854801,5.045559946426707,5.775557702583752,5.512562877926114,4.327954835058222
2024-02-13 13:00:00-05:00,3.2972294561383357,,,6.168642391457649,5.427582820287125,5.341768507521628,,4.161066673170762,4.309266642339164,2.594535968307664,,4.116223387199767,2.7921925761223676,8.011131441621165,4.112486825487629,4.3136840740026265,2.0710836435846716,4.039901817463022,3.8139136490653094,,4.409295015422117,2.8199717452608475,3.487362810189825,7.15401583432754,2.946259779958188
2024-02-13 14:00:00-05:00,2.855972259555216,,,5.244246620502398,4.373963414211307,4.276890531921339,,3.386086969181342,3.7388112084113025,2.044138250786675,,3.061522918946693,2.0742328224067137,7.808936120758004,2.7514645043738852,4.472891973547576,3.2272356593669826,3.3341826739570486,3.417968858864029,,4.210557674496158,2.7633464855401293,2.0643609302899075,4.311998364656798,2.357351449232169
2024-02-13 15:00:00-05:00,2.8790646872835133,,,4.570962915791473,4.855578194391253,4.867062155089201,,4.072325688820154,3.6506057329620205,2.20234085583229,,3.233736595608505,2.2900323423557793,9.291082459112882,4.778118507550175,3.9899252333364466,3.696113267639447,3.6594084459327725,3.5966199635541543,,4.1115750025188476,3.3593202090225454,2.4302977665751393,2.5720427231916645,3.0416148555679765
2024-02-13 16:00:00-05:00,5.04406150616976,,,7.234887418041495,6.439708753447174,6.953294432176072,,5.618349741467277,5.407561691273081,4.538458951339066,,6.118214769989287,5.183301059126137,9.71781486474787,5.698905985722497,6.450822491391456,4.598280789707744,5.540905283503644,6.158080847628883,,6.960862523045392,6.352606068778638,4.566930302843302,5.26138794804506,6.235094932257679
2024-02-13 17:00:00-05:00,6.276009024073256,,,8.122825407946397,7.312550404570953,7.257458520260734,,7.490013718698712,7.9830694252246275,5.044598440118889,,7.352528061722886,6.390641498197866,8.488296562728951,6.5633808665075435,7.447023213254756,6.817690316193627,6.536911489929544,6.6540386182555,,8.940214656976522,8.029706595655881,6.309297798305556,6.993973613470546,7.124294071217723
2024-02-13 18:00:00-05:00,7.26308764005082,,,9.078820384800768,9.753363253722522,8.026255795368996,,9.11840716014013,8.690678297509951,5.5319654149984725,,8.480817721034889,7.137578249155389,8.817262290937823,7.901856459631176,8.514830244784392,7.676953937989651,7.444466275433825,6.846378890067697,,9.093674965319494,8.216081430145856,9.364925555737745,8.688663779232858,6.57333839385765
2024-02-13 19:00:00-05:00,7.997800778113739,,,10.674407606256512,11.31594975796635,7.516885084291495,,11.19901005112596,10.250716040604484,6.932879520151946,,9.366690779987223,9.113677682890586,9.18721001482462,11.19570116529929,9.632641246054277,10.586071907967224,7.606679214475939,8.452449901832127,,9.558516002797845,9.240147930773023,14.809518717594655,12.747022032348356,7.33195970032193
2024-02-13 20:00:00-05:00,9.852935491783505,,,10.621497253646151,12.495603018814283,7.505937865588713,,11.390465515201463,11.504952810493588,10.819713758389714,,9.883474014679543,9.78579943224851,10.734234119112719,12.15840443577465,10.497901840126644,13.543400011472578,7.151185280080732,11.733574626756594,,11.792522236293479,9.499807036736662,13.291671533621958,16.819512909797872,6.455907765363241
2024-02-13 21:00:00-05:00,7.462918632004676,,,10.462971088634696,9.25098062331621,7.267220835057962,,9.179380199838569,7.107678660466572,8.892528280760247,,7.691717570493424,6.627567584850752,8.773480906970637,9.071768848177612,8.856111140634926,7.997288513246275,7.436416690112047,7.391907426851505,,10.71824430705206,7.849387390664063,7.024684373008206,10.74019484240978,5.454571687179698
